id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts216746,The Secret of Skinwalker Ranch,SHOW,"The investigation of the world’s most mysterious hot spot for UFO and “High Strangeness” phenomena with astrophysicist Dr. Travis Taylor who joins real estate tycoon Brandon Fugal, along with his team of scientists and researchers on Utah’s notorious Skinwalker Ranch. The team utilizes cutting edge technology to investigate the 512-acre property to uncover the possibly “otherworldly” perpetrators behind it all. With everything from mysterious animal deaths to hidden underground workings and possible gateways that open to other dimensions, witness the close encounters that go beyond conventional explanation, as the team risks everything to finally reveal the ultimate secret of Skinwalker Ranch.",2020,TV-PG,42,"['reality', 'horror']",['US'],3.0,tt10589968,6.2,3232.0,17.094,8.4
ts87953,Locke & Key,SHOW,"Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.",2020,TV-14,46,"['scifi', 'drama', 'thriller', 'fantasy', 'horror']",['US'],3.0,tt3007572,7.4,72031.0,44.174,7.948
ts57213,The Dark Crystal: Age of Resistance,SHOW,"Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power and set out to ignite the fires of rebellion and save their world.",2019,TV-PG,51,"['action', 'fantasy', 'drama', 'family', 'horror', 'animation', 'scifi']","['US', 'GB']",1.0,tt6905598,8.4,25632.0,24.686,7.753
tm824398,The Platform,MOVIE,"A mysterious place, an indescribable prison, a deep hole. An unknown number of levels. Two inmates living on each level. A descending platform containing food for all of them. An inhuman fight for survival, but also an opportunity for solidarity.",2019,,95,"['thriller', 'drama', 'scifi', 'horror', 'european']",['ES'],,tt8228288,7.0,236016.0,27.924,6.993
ts88379,Dracula,SHOW,"Transylvania, 1897. The blood-drinking Count Dracula is drawing his plans against Victorian London. And be warned: the dead travel fast.",2020,TV-MA,88,"['drama', 'action', 'fantasy', 'horror', 'thriller']",['GB'],1.0,tt9139220,6.8,45971.0,24.057,7.063
tm827638,Synchronic,MOVIE,"Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre, otherworldly effects.",2020,R,102,"['scifi', 'thriller', 'crime', 'drama', 'horror']",['US'],,tt9016974,6.2,33545.0,39.809,6.28
ts221200,The Haunting of Bly Manor,SHOW,"After an au pair’s tragic death, Henry Wingrave hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the estate’s chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose. But all is not as it seems at the manor, and centuries of dark secrets of love and loss are waiting to be unearthed in this chilling tale.",2020,TV-MA,55,"['drama', 'thriller', 'scifi', 'horror']",['US'],1.0,tt10970552,7.4,110042.0,31.634,7.723
ts252505,Are You Afraid of the Dark?,SHOW,"Each season of this horror anthology series follows a different group of kids, members of the Midnight Society, as they discover terrifying curses and creatures.",2019,TV-PG,44,"['thriller', 'family', 'drama', 'fantasy', 'horror']",['US'],3.0,tt10473306,7.1,2528.0,24.554,7.591
ts89564,Black Summer,SHOW,"In the dark, early days of a zombie apocalypse, complete strangers band together to find the strength they need to survive and get back to loved ones.",2019,TV-MA,39,"['action', 'scifi', 'drama', 'horror', 'thriller']",['US'],2.0,tt8923854,6.6,31511.0,37.598,7.091
ts55762,Kingdom,SHOW,"In this zombie thriller set in Korea's medieval Joseon dynasty which has been defeated by corruption and famine, a mysterious rumor of the king’s death spreads, as does a strange plague that renders the infected immune to death and hungry for flesh. The crown prince, fallen victim to a conspiracy, sets out on a journey to unveil the evil scheme and save his people.",2019,TV-MA,48,"['drama', 'scifi', 'thriller', 'action', 'horror', 'history']",['KR'],2.0,tt6611916,8.3,48541.0,37.931,8.333
tm353358,47 Meters Down: Uncaged,MOVIE,"Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell.",2019,PG-13,90,"['drama', 'horror', 'thriller']","['GB', 'US']",,tt7329656,5.0,28027.0,26.722,5.7
ts251028,Detention,SHOW,"During the period of martial law in 1960s Taiwan, some teachers and students from Cui Hua High School were arrested for possessing banned books. A female student fell to her death and rumors spread of a ghost haunting the campus. Thirty years later, the draconian culture of the school remains unchanged as a new transfer student uncovers the dark secrets behind the school’s haunting.",2020,TV-MA,49,"['thriller', 'drama', 'horror']",['TW'],1.0,tt13175760,6.3,567.0,20.265,7.706
tm810237,The Wretched,MOVIE,"A rebellious teenage boy, struggling with his parent's imminent divorce, encounters a terrifying evil after his next-door neighbor becomes possessed by an ancient witch that feasts on children.",2020,,95,"['horror', 'thriller']",['US'],,tt8305806,5.8,17937.0,10.121,5.984
